Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2023-05-25T02:00:00+02:00;PT15M;Onshore;Flanders;Dso;267.05;226.6;184.2;282.4;221.7;156.9;333.5;223.5;68.4;267.7;47.1;16.0;104.1;1353.86;0.2;''
2023-05-25T02:15:00+02:00;PT15M;Onshore;Flanders;Dso;259.53;225.9;172.3;293.6;221.6;157.8;336.6;222.4;77.9;274.2;46.5;16.9;107.1;1353.86;0.19;''
2023-05-25T02:30:00+02:00;PT15M;Onshore;Flanders;Dso;239.6;222.5;169.0;293.5;220.5;159.8;340.5;220.9;95.3;283.0;45.9;17.1;110.1;1353.86;0.18;''
2023-05-25T02:45:00+02:00;PT15M;Onshore;Flanders;Dso;229.21;222.3;166.8;292.4;217.5;158.9;343.9;218.7;109.8;293.5;45.9;17.2;115.4;1353.86;0.17;''
2023-05-25T03:00:00+02:00;PT15M;Onshore;Flanders;Dso;230.55;228.9;185.6;285.5;214.6;153.8;342.5;216.1;122.7;301.1;46.5;18.5;118.7;1353.86;0.17;''
2023-05-25T03:15:00+02:00;PT15M;Onshore;Flanders;Dso;216.83;227.1;172.6;295.8;210.3;150.7;337.9;212.2;133.0;305.8;46.8;19.1;117.7;1353.86;0.16;''
2023-05-25T03:30:00+02:00;PT15M;Onshore;Flanders;Dso;229.19;223.8;167.7;294.2;206.5;145.2;332.4;208.1;139.5;311.5;46.6;20.2;114.0;1353.86;0.17;''
2023-05-25T03:45:00+02:00;PT15M;Onshore;Flanders;Dso;225.94;219.5;160.6;289.1;203.9;139.9;325.3;204.5;144.6;314.1;46.5;21.4;111.0;1353.86;0.17;''
2023-05-25T04:00:00+02:00;PT15M;Onshore;Flanders;Dso;225.52;212.2;171.9;265.5;199.7;135.5;317.5;201.4;147.1;314.0;46.3;22.0;110.4;1353.86;0.17;''
2023-05-25T04:15:00+02:00;PT15M;Onshore;Flanders;Dso;218.48;206.5;155.2;274.2;196.3;132.1;312.9;197.6;146.4;307.8;46.8;22.5;109.8;1353.86;0.16;''
2023-05-25T04:30:00+02:00;PT15M;Onshore;Flanders;Dso;201.73;202.8;149.9;265.4;193.4;132.5;309.2;195.1;145.0;302.5;46.6;23.3;110.1;1353.86;0.15;''
2023-05-25T04:45:00+02:00;PT15M;Onshore;Flanders;Dso;194.31;197.7;143.9;258.3;189.8;130.7;302.0;191.2;142.9;294.0;45.6;22.5;110.5;1353.86;0.14;''
2023-05-25T05:00:00+02:00;PT15M;Onshore;Flanders;Dso;191.29;193.8;157.0;243.5;186.0;129.2;294.1;186.5;137.0;285.7;45.5;22.7;111.1;1353.86;0.14;''
2023-05-25T05:15:00+02:00;PT15M;Onshore;Flanders;Dso;183.48;187.8;139.7;251.3;181.4;123.2;281.4;182.8;131.8;279.0;44.5;22.0;110.8;1353.86;0.14;''
2023-05-25T05:30:00+02:00;PT15M;Onshore;Flanders;Dso;176.17;181.9;133.1;243.4;178.3;116.1;263.8;178.5;124.7;273.8;44.0;21.3;110.7;1353.86;0.13;''
2023-05-25T05:45:00+02:00;PT15M;Onshore;Flanders;Dso;180.34;176.6;124.9;235.0;174.8;108.4;249.8;175.3;116.1;267.9;43.8;20.6;110.2;1353.86;0.13;''
2023-05-25T06:00:00+02:00;PT15M;Onshore;Flanders;Dso;171.38;172.6;136.7;222.7;172.5;104.4;236.5;172.5;113.0;263.5;42.8;19.5;108.4;1353.86;0.13;''
2023-05-25T06:15:00+02:00;PT15M;Onshore;Flanders;Dso;156.0;164.2;120.3;228.2;167.7;98.1;224.6;167.8;108.6;257.7;42.6;17.8;104.6;1353.86;0.12;''
